Card_Type_Code,Card_Type_Full_Name,Issuing_Bank,Card_Number,Card_Holders_Name,CVV_CVV2,Issue_Date,Expiry_Date,Billing_Date,Card_PIN,Credit_Limit
JC,JCB,Japan Credit Bureau,ASrr1LvDw2cybZBx3IoERQCVhsfkSX3QBmB7i14SSyTYYXcsYPOBdaCB2LprMq0EaA==,ASrr1LtxdZZAui51TpGb+azCdUz7srem9DRHrOvSxZzo2FmtT14zkmIyEI/TqGk=,ASrr1LtGXC0XlRKlKt/sYCb4YLL4DO1pmabNt/iKHQftPJZA,04/2009,ASrr1LsHpfSx9Aj8ADXsEpRc3oNZdyQ7+C9YhG8H0/zPF7ny8xkxbw==,23,ASrr1LvKY3rMwJ9e3PmaYBqL5SRQYvQXwvEqXBE4lt7MY4yXhg==,ASrr1LtiQan6CSH4i3BBU1IDbH2fRPArg+XuKCsXw++QjzL9NTnG
EO,Elo,Barclays,ASrr1LvIMTLLTNi3g3EYnDFVlhY3UhG76ssoE0s/Ct9o6ETCalI8dsT8KLCAZatPvg==,ASrr1LsKi1pnV/eZDykDcXVT5HrfCjiU5YtG/9Z0/U8ze57qNJj3m3/iFXmaew==,ASrr1LvY4/Z7HG5vbLei5DlR/lvgpUr2F4lRXBvr9Hzb2sdg,12/2011,ASrr1LupMW7K5r8d6jym6hVdSCPSxR3ME2/BocCViTc6sD02Ngn52w==,12,ASrr1Lvq6bmc8mIsRe0xo/FSDmBoaY6x2vEv5FXkW1aLXeBYvw==,ASrr1LvvGj3FG2o1TGa2+yo60rJf4/PS7bw4OwMefb6Ka4S1Y0rY
UP,UnionPay,Bank of America,ASrr1LtedYo0qyTd3sy6HX5aKRSq57LygpDsn4Z8TcnsYIGBlj/tEmWcPJAItJlMug==,ASrr1LvoCyBWbmIPgRpGq0iMUyEtH91lvNTt1doAyzQ8mNe+96mR16l+WmjT/w==,ASrr1Lv1PWHrh77zrGywyY3G/gNJ5TrZj6LNiB/yYObns5W3,06/2017,ASrr1Lvq016mPtC7B4iQHfjeCQ6FHQb3WtnYvsxcTKBtuzxE2rcyJg==,13,ASrr1LuwqMjHDUWMZwXwdlCxwIaPpB88evAHCy/M39YPw/FiKg==,ASrr1LvA9S1yH20cDYq6KWRaMvtXWgbod7kVRDfktzqNbyl2ZVm1
MC,Mastercard,Capital One,ASrr1Lup5CwW3DMqdh0EpttBPy00NKlGbiPKsrpgY8Facb+NsTrErBbigGXzohXWQ04=,ASrr1LuTOs2e3Fs8Lx7ItuhqANUSBD8tHDr/HIYPtvu1nJ8KIZltRlHz0ZmS,ASrr1LtGiQa4s/irlfbqmgrd4SCr2fpl5PsOb5VTXuBJkBAC,06/2001,ASrr1LtXqXXLYVMlFPbal7BwdoyXSV0o6ZtEGrtTmCfSgS5mTjCohA==,16,ASrr1LuTMMRPBUzrtBoRfHi/49xx3Yesmr+L0lPQLHqvCUvnzg==,ASrr1Lvp93yW7q6JEIQWI4D0HxVD/vxFnJfpRhrphQg5smxiJVCA
JC,JCB,Japan Credit Bureau,ASrr1Lvqq+Y+oRjMsIm7pROtKlR1ej9iNXe6tecqq/ZI+PH04t2P68GKEec77KbnBvzc,ASrr1LvXrPiyXFjSlIVM2XduksYIrwYmb7fHoLb3CX/ZWbGC/KpX8XEidDlK,ASrr1LsERof/7aT3SqDSQLtliJUCk9ItRKePLOJqi2RfOa9d,02/2003,ASrr1LvagVGxewcslG9YL2CDLkU8nxpahI/wkU+Wv3GrHwDsMeVeaA==,24,ASrr1LtBvJ9T046YeYbw4ELJYRuzW79fNJpy1gOHArBQe0XWvA==,ASrr1LuhX+6OUIZhpPcXrs5Fv0LjP/Ow21X523Pdr8SOLATBQ/Gb
HC,Hipercard,Wells Fargo,ASrr1Lsk+TtOT8qMM8RZPJb7H1r9dKR//Px6LYrcg3h47Nh9xSlZbH1G82IKZIshtw==,ASrr1Lth3o/NnYVDbRIGeogNQwuvduPpu0wOSAJLqzOjImbyyIx2vuKJwNzuAGBT,ASrr1Lsk3xwv0HDwJxLO40yKd+YmkNQr87BRmdoMXpCV1GGq,06/2007,ASrr1Lt9aFxiUl3FcjRdk2Yt5xmNXp3239ALv3q4aw6eCPzryTItOQ==,17,ASrr1Lu39K9ko3hD5XHEOgiiGBZJuXRiY6gzLd6x6FJ0IAM0gg==,ASrr1Lu8rBKDtMjFJ8qZboNZ6rXLoMDRV+JgR3pbyyRFHlEj46g=
EO,Elo,Capital One,ASrr1LuqZJ2bAMCl9k5LX1hzfwM99UXBZCtmf0MLBG7Kn0Ajq80hFu07kmgQ1HkUInE=,ASrr1Lu/hWiM2krwkm8sk6ZlS36BzOPIDVbtTotdtZ6ZSTGk/46Kiu38heKfHJQ=,ASrr1LtxIwEH7hAtH/2Zs33fQl7L0z8R1KXeSoLTun5C14RX,06/2020,ASrr1LupGtadpysAsPzyosek+N0JSUD4wbv6NknHQMQhoVaaVzhuow==,20,ASrr1LvePnelziVo4ohcTfgJXESF9pePpRhjKCsnxu4IXsBkSw==,ASrr1LuP20SHU4QSPszMJGpCf9+Q5ejt9dQW1pIgi53XFUyPjKHC
UP,UnionPay,Wells Fargo,ASrr1LtF1+st67OpQYqDDHIwaNfyCgbSb4BWHQY7EjbNQPvicJ8AZSAOgSCF0GzT3Q==,ASrr1LurqCg7tdQdNh7s2EJ44Xnk/qKiZ66NR4Wqb8QJtQdc1Jr+4HSYJ/xGnA==,ASrr1LsYtQ1/LzrycviYehIHv6stmmLjZTBstHtpMYTzqrUO,02/2004,ASrr1LuiMn99/px7fDbUqGz/8iEWlOqICl42xB7E7bLfcMSA/Kk3BQ==,6,ASrr1Lt/cmvJYZE/6p+X+Mh4gmS5+jOjWLiHh/jq+IugoYgSgg==,ASrr1LuyAE0nkeh3R3hkTeaSD1MyuVTs5U7/oVHY9F3RQ3kEiKvV
MT,Maestro,Bank of America,ASrr1LtR8L6Ylg4pVL8k5YVkl6e6BzlfytTP9o1YADHOdKImrdd8TQp39n5zByFsVg==,ASrr1Lu1Ixb7lRJD1ABJd3NRPIVYvB5ubVEHdTwX8hFuJuA5NQRWG/jpydPvobNd,ASrr1Lu9ZBgndEP9caCaLBGhUmg2/Y9m2yeIIf+RIoe16Ckf,11/2008,ASrr1Lvv5VldPbo83a1361Pjt0eCATxEO1vgGdWeKZ86iPm+DHy/MQ==,22,ASrr1LsIJ7mJJ2YE4WAqAWYIl18j8+bkQCRrEoIk+35hDT5nBg==,ASrr1LtNPXSStICk0g+sjlE8ac++u8xIJZUEkklpB1UqyvUTm5d4
HR,Hiper,Bank of America,ASrr1Lultioc89RPQdhfql/bjIaL7M/tUYJWRvYQg2EHMWOcV3y1zYAbxtwSjy3j,ASrr1Lv2Mu9oWeXKPOYyFeuoph7dR0nG0DiuXqLTTvLJO9+IbRaZcbqPVUj7ow==,ASrr1LupmRoB/SRqRfIt3yg950KES6tiNjCaKlng99D4veIM,11/2013,ASrr1LuEwoSYtoProNtQb83kqzm9jRifDG9cUusV42e2zP6fi7VVEg==,9,ASrr1Lu2GMkO3hOlyaZ187HF0AfsApaZD2SfilRQBdj1tVpC9w==,ASrr1LsnVsJJyeC7wYhCp7IuzoOi/wmXZKP2juyGK4nBsC+H+6zt
MT,Maestro,Bank of America,ASrr1LuIOJiBkeTgS45JyOc4YCo43Gzj1tjiovh+5hZefPFEqvydCTL+fr6Y55DV,ASrr1LvYWi0+4TbYTNJVRq34ywW5AvXo6mez1nEhkLTk60sPE3/LOaGAECEBNg==,ASrr1LvohxOXTtyYPV/Spu5+jlvGC6ou4ucWa0FCmBAILwYk,12/2010,ASrr1LuNrWoW/06HjHhjltXgAmf+gJXcWlaTDy5Qwj3skS8x9DEXAw==,16,ASrr1Lv3IOZneVR6A03f5Q5u82JDCyA9KEh1LIskSxdPbjvOrg==,ASrr1LumcKnbV/V/K9mJVEYQaUh16fSLQissM4ay6w+4SGjGcrKw
DC,Diners Club,Diners Club International,ASrr1Ls7iNMeYk1XrmmG1rFsMCYXy1znBsA1/9hbvDMzGTU2q7ZFyYIIiKErSUwi,ASrr1LtZCWVFhLDn8qyLYy36dcyAHn3uPWhJS/MeJ9ChULZWo4V3PQdJZqJgtjM=,ASrr1LtX1SnDmUfbZVr6H2U0Z+GEY0AxC2U9o40zlzJZNhXL,10/2011,ASrr1Lt3lKIbjTN8VCHGXbeNaPrTFNC2Pd19/ACLR33xpKfFNw13HA==,13,ASrr1LtIAmViIupaexQ9hN61T74zsqJh9M7a7V5q9bZBUJQeZQ==,ASrr1LtuOjxXCjlruMbaLvokTdCGtJsWNs3noibNWpNZ1UguGkwB
AX,American Express,American Express,ASrr1LshNdOoF1zIpAxrmPZdS8jncVyk/LJGE1Gkd9GB004wWi2o/wXN9Tl/iAl6pqPeVQ==,ASrr1Lv4eHRRfoW8UNE/5slF7sCiHIY+uCxiB2xHb4ZYvyS/AGlYveW58qJOJFeQEA==,ASrr1LsVDbL/NFidS0/A/V6eiC9anvE9n9WSg99VhSnETg9i,01/2014,ASrr1Ltd/0PpJ5ZGcnUSkW33LlhgZXblMCKUVjeAJSZ2saM4FpanaQ==,1,ASrr1Lu0h2r2uPF840XIkSsZTGcb4sfr/j1/iK15tjjCrNHZ2Q==,ASrr1Lu305F07tKPf0HMunwqtnZ9MMkLnbJlFFFAJ+NV8ybVImuP
HC,Hipercard,Barclays,ASrr1LsYiVa711pn1XVQZcmKRZnPpneVJJ+t4SFyP6tgHwdM7DNsZJ1uxTYMO7EU,ASrr1LtixtTNyrWxt5OdpNfJS83UbaL0dW8H2+gIfubWnw8Pj8xo59JoHUn7rpBPfIQ=,ASrr1LvoJjbXJMNtyizbpA9mUPOKEe0kLqr0OqmT0bOXrXHxSQ==,11/2001,ASrr1Lv1U5NF/Y/ap5if2gU8/eysKUai4XHM4h64Kx0CmWKy0OMkAQ==,11,ASrr1Lv5xZhQ1Nk8YswZ2U+iTzFStFceAg3pHA4/94N3CUCXHQ==,ASrr1LuukbSaET1NPwi7GFBfjU9NY811u0iEWYKG5VL/gVHhIFWA
MC,Mastercard,Chase,ASrr1LsDmc85dKusLraz38KP76cwag3VzC4HverA7+AqgyFe9nlTJrQD/daNVKKm9QA=,ASrr1Lvh4/GFpBcGeI2YkxLoT4SC8e4IJDMTqAflHAojRS0C3JQ4nLHkpA==,ASrr1Ls7a0GkBkHpV91WdEeReMKcehE7alpge4coO8RBQ3PC,11/2011,ASrr1Lv8DtDWLzbkWmzf2YhP+wSGXknlpBP7lYf01zLNbFJqgwT5FQ==,9,ASrr1Lv44MUA9DqGVRTtKTyz4HjvAitoJPIr+e8bzmoJ4S9tTw==,ASrr1Lt0yWJpGghry7EjDs+16rzK6ABnD0zEpCVAwGi9tiC9cKtJ
UP,UnionPay,U.S. Bancorp,ASrr1LtbqT+ukCeqNHUjUx8Yu28VyoLw5FD5XOWDFlwBx8MOnw9khIfSJuB2ASq9hw==,ASrr1LsME42+VXs4OERL2RUnSHgb3ppi5/bH6GY2CYN5k6egDX7lXhy7jKqZuQ==,ASrr1LuZWEMkgNDqAkEZs+aKsqB4FrOmC7nVJbwkiItQKHQR,11/2010,ASrr1LuKqhm8pVCIrMot8AWRmCg3SANIV+6NSVRrhpfFHT+3sHzTew==,4,ASrr1Lu21njJCoiGz3aa7nt/YvTkyXFH0Jg2Yv1BJ+wFTtsyrw==,ASrr1LtjG/RA7RNfyTNxDOqW/77cDHWzi2+1t5eZPz+gcFfvApXX
VI,Visa,Capital One,ASrr1LuxDugO1iUVSKdSW63eZdSyY4lPT9bBGIeUZFtBqcwwf6dJpozKnBpRDf806J+Y,ASrr1LtEYe+aCKw/FoA1HnOwJbD2M3+Uv2T/6299U1jmDzFQ7kNfO4cwIOd49A==,ASrr1LuNVLQozCWydLHPkZuhSe3L3naZh+XQjPlU8ZwVJdeI,10/2002,ASrr1LtoWGGAev7vMgLz+lOz9N4dQ+g/5K9xaQ09akbUBISw0pdgCw==,4,ASrr1LvNH1+sKCiOhHgKD3DZeefeMfEuk+LEK8nGKc59eQIyZA==,ASrr1Lv/beZW5zcz3R2SpJHO+dFr+LHMfRAIIw0sEa8K6mk0hYfB
VI,Visa,U.S. Bancorp,ASrr1Lv8Rdw/XCEgNZVvMkQ5rIjOW7H1ta0jfgQsNHqrOiURMzqwfKPbbNdzHR+rjw==,ASrr1Lt/uXLpEkxf2o+uWuw7zDuWv/vrAsWXHv9uKoXj7CBNTDj7L8A1Z1mX41EFMg==,ASrr1LtIS0WyglkhhL6Sma9H7XVB1dw0ZPOM87SMpBIsC1KH,08/2020,ASrr1LvsUjxYF7t4umiSlqixBWz62/zCTUu30+dUnN/OXcVnkWqEOg==,26,ASrr1Lt/pTfjkMDHtuKAEbcQgs3kyhIQ2Ie3ampFQHHRpQ17Bg==,ASrr1LvIRVIDAqaETERXJwJxczFzQ1+F5zwJqb1xwChK5IJn/rc8
DS,Discover,Discover,ASrr1LsxBS3bCPuTH6A9uZ7WkuU3YBDdZKmMh7iKOu3ZChW4SoDnnj+1Qis+s1i1,ASrr1Lv0vrd41dyIpk2dsrfyZ3PpaLjygmawLAo5bK0Qza+2yjerXso6vI8=,ASrr1LthR6qjhazX0/5Xz4t/0bPvy9dyFN0jw8Xq4o5iyN3D,01/2004,ASrr1LuVs/5JF20uId+IqN/PIuqOjiBSblD+tY8szDOZ7i04qeF6dw==,24,ASrr1Lsav0Udh37t/XFQskz3a/vTYJ9lYIcdT5Y9rpFqMwgtZg==,ASrr1LsoY5nXV+jq6kMlbbu/ZBRHFn6sVa0Y0sybNmS0AJn9RcrJ
MC,Mastercard,Wells Fargo,ASrr1Lv+EmOgOJOE5RwVoW1+II1cXyMvxpFeZDrK+x/PXEnliiade+yvdgB1Sna2og==,ASrr1LuGXi7/YvlpvnEZnCqi4tSNzIBv1IaI04kdy9fpIdbo9nJB+kAr2N8rPoZI+A==,ASrr1LtXPEsGy7Tzy4hGRDyfpbExpAzd9iqA3Sf8ULJxdsMs,10/2015,ASrr1Lv2Mcux6HG8GADOMkXkiUpNd/EpO+3fqY7EUKOtgntehzkcyA==,4,ASrr1Lt148rfEKKLashYqRIb9Div9XqAHcpUO0mW2kNsOublqA==,ASrr1LumaByyiUyks+Njqd17gf5q1dPosQtdQwniPf7QaLdTouYs
JC,JCB,Japan Credit Bureau,ASrr1LvlArNUEkiNhtsoFszIikHbBka6wKUbY3vUsoY86EmOj5WyGevPuNvYisIHbg==,ASrr1Lvs8GZZWMHfGJ/pmPrVyVjTTicHysFdfUMIw0y26fKJV/qq5B3vspw=,ASrr1LvdbGF8//8ubM9hcvI34X4PCq+mTuEoP1fmCMfpCH4I,10/2013,ASrr1Ltz9z+FohBAUJY3/4kuRrSHtp22JJ1HUgJsIktJyUUHLQbivA==,26,ASrr1LvszFHw17RG02p6VfuACFp33YFlYN87KLDAYCe7ZqVXVA==,ASrr1Lv2sSj6G/kBEihTB/l0mB/b1V+Q1kILN3EKws9gvGi3q/97
HR,Hiper,Bank of America,ASrr1LvprdSFOs+lCWrIjaODLikbJ+zWbcQBLTWGLiPXdA88bZFRPQc3QmLl121TIg==,ASrr1Lu3OXCbciogRXseX9ZH487WuIoXjFitq0TKrIufe/L0DIY569vkiyE9Mg==,ASrr1LuqCdtPw8QrlQNVtlOq9HizkFUOtmF0SVfjYom3fEn6,07/2005,ASrr1LvL+0SZEAwfSxwx17kA0Q4RVFZ6xnvmW2vKqqe+1DHBrRpQzQ==,25,ASrr1LuUXvRpxOBfN1hl1f/PCuOQfHZqnJ4hT9opsYS5t8EU1g==,ASrr1LuwyrVsFIxeEh3/kqhml5X97SVm7itOmWKOC3ydLf16jPHA
VI,Visa,GE Capital,ASrr1Lv76Rt5gQ61zZtsqdg1e/P9W29hR3m8jHOt715MrvcH6iEiuspSyRuZGDec8xQO1w==,ASrr1Ltnw3SD/1+1EKXLlcLkJT8pjdvnHZidlkKt3GrUv9l4I1RQF0t2bXEHbw==,ASrr1LuNGwQVcviHK/47qFzr/HXFIIdy8ingE1SKN6UFbQxM,07/2015,ASrr1LtT3wJEd91U+P1D6UqOiJsmJi1BhsSmOeEmZst6bFCBgJaBQg==,3,ASrr1Lv6PEZsIFgiials2Bop8fADYYNO19/8erhH82Y+KcSiSQ==,ASrr1Lvk7MwNwDaT4hzspx53TvntpK+UQ1FqZPvsP16e7fyXZ/MG
JC,JCB,Japan Credit Bureau,ASrr1LsUfwfjywcCmcj4jIjj9WbQimr61VKNRTbMVmStHfl37txg96ev17cPfWVLPV0D/w==,ASrr1LsWLvXylMJHIvu7izI5SqGq3bfOxUkkaU7aPFLXMoMjTQdx/NzZ2iY=,ASrr1LvgCGwu9nhuOY+e1/vmZ08w1C5H/GZe8GruGlCztgmL,11/2006,ASrr1LvJVuBLPvcY3VXqsU/sS/ezGB81D1nvG6gvbhCbhNH2p+/BSA==,15,ASrr1Lv0o5jpd5EZSKJwU+EMyNeMDpX4zwAI6LF6v129pgwqSw==,ASrr1Lt0BPWOcwzUe5hZ83YOSvoFY9WnPwPxRmSOw7zt+c0AMhb7
EO,Elo,Capital One,ASrr1LvqqgngrwAgt1QQusomFzKyUbt+C9FsDt0u/7QY1MGbPHm+oCRsUglg2Q==,ASrr1LtFIAVJBIf4OwlnfXWiDAxtUKZZ7ITaq1xc0zImIeCp0jN0uEGi1MFBL3C9Gw==,ASrr1LscqpRiQ231ZLGsAOUcdiKA/46FkRSw95yfHpJxRCSN,10/2002,ASrr1LuRQGKYfhYJCKoXulHczBkPeRkZqUp+AA4dJDZdDFk/Gi2vJw==,24,ASrr1Ltb8LARy0v8ZyvRna+QoBGZl83zu0dRnyLBn30wrZlEyA==,ASrr1LtlOttUQwfj3uHLCk9wj0j0hEu63lfgHjhYE6MPAT+Xow==
JC,JCB,Japan Credit Bureau,ASrr1LvtMiFdm4xWP+l7eS2aO8WERx+3F3EVqYooVe0gTvlhRVDZECvyFUWcO2sLsp8=,ASrr1LtoiQJpYrN7Mu/i9H/Emo7Xed4n9/A3+dTVtfuSvfXKMcP3Z6s0VwnKcks=,ASrr1Lv2EBMZzc0uQrvkpflaldqhI/+mORExvUX228nuJBtL,09/2003,ASrr1LuuXeJ4ShcvU2mL9UZkvA15hj7MSrH+BsdS6KRxozOPqXaKig==,12,ASrr1LtmA6rq4gJ9BPMpSyFXZj0HsmCyLwAT4FshllOQMKZ9+Q==,ASrr1LsKTDTvRKst5yrUYLXZ/bEyZTlXATXM9WPU19HkQYbLv06J
DS,Discover,Discover,ASrr1Lv7ZgMmDzvpxLbzQFw/GkY1asANf1/blm1+PqnwnPbJsTRl2cuH7WZMTYJbAg==,ASrr1LtL5Z6DQVILEW3c+CUZ6WTZbQvCxOzoYsOQMoaCYsa4h+aEe6F7aiWW,ASrr1Ls7u/RMEYpxUKzx7td5HZHxFfahEwWZJ6p5c/Ibc5T2,04/2008,ASrr1Ls0snVW/Wl5MooF1n2LQA89yuoPIQpC6Ynkik3OCLsl6yE/ug==,3,ASrr1LvFDRaW+W8JRnWYH04XdXUP9y8w7k46a6+UIZ9KZePCZA==,ASrr1LseWeX3dt6d2IJAB+0nVfh3SluhHeYFcqSh3zWAfJEDx9c0
MT,Maestro,Chase,ASrr1LtOAVSJJyxwy7eS2Q91VUTRRhyjt3kHAcdAOpup9YTbdwK/AZNqbHOxpyhIOAgK6Q==,ASrr1Lsmvk/6Vz5YEX915CLUo0ntKGCXfr5x/KCY1pco7lCs6ejYQeyZ6w==,ASrr1LuzpAcFuk+y9mIGi3eJivU1efnf8dmIV+CATJ4DvQpY,08/2017,ASrr1LtgtUVJeRebgmy85C/Uxp5kkLEGnCzZ4fk51PDyS9ku5dqZMA==,10,ASrr1Luua3LVLixnqrdbsP64PxbV+/cmJTBQv16crUGgIwvLkQ==,ASrr1LuG18eK7t1k7Kufg/2RvfRuTkD/Eu7S8QevCeZiZ0i8dLHT
UP,UnionPay,Barclays,ASrr1LuGttc1ox5y8wVvIitge32S36fWRhkiEQTSel1B6l5/3YpxUDAshod7p1R6nA==,ASrr1LupqofCLmHN9352XThCkbcD0kmYs3WCcGBMBtMvAfisB97nNOFcOm1gkg==,ASrr1LvdrPFKOhpLkmZhFlCWXcRrqD6Yv9Ndsyf0YvR5KioY,08/2017,ASrr1LtnE0fXhSoxZeKuaNCzkCtl7505JcdQWfzIDc2Xg1Psc6n1sQ==,14,ASrr1LuJAh3aNGADMTOmHJEPIB1p/6sz13kW9DVehpb5harj8Q==,ASrr1Lsnq2Gtt0tfmmlwHKy6IMc+VxjTE6BoCN8lNKkVMW3QSE7K
